Satellite ID,Time Slot,Power Level (Wh),Power Capacity (Wh),Power Usage (%),Observations,Power Consumed Obs (Wh),Power Consumed DL (Wh),Power Recharged (Wh),Recharging,Status
S1,00:00,90.0,100,90.0,1,10,0.0,0,No,Normal
S1,00:05,90.0,100,90.0,0,0,0.0,0,No,Normal
S1,00:15,65.0,100,65.0,0,0,25.0,0,No,Normal
S1,01:30,55.0,100,55.0,1,10,0.0,0,No,Normal
S1,02:00,55.0,100,55.0,0,0,0.0,0,No,Normal
S2,00:00,90.0,100,90.0,1,10,0.0,0,No,Normal
S2,00:05,90.0,100,90.0,0,0,0.0,0,No,Normal
S2,00:15,65.0,100,65.0,0,0,25.0,0,No,Normal
S2,01:30,65.0,100,65.0,0,0,0.0,0,No,Normal
S2,02:00,65.0,100,65.0,0,0,0.0,0,No,Normal
S3,00:00,100.0,100,100.0,0,0,0.0,0,No,Normal
S3,00:05,90.0,100,90.0,1,10,0.0,0,No,Normal
S3,00:15,90.0,100,90.0,0,0,0.0,0,No,Normal
S3,01:30,90.0,100,90.0,0,0,0.0,0,No,Normal
S3,02:00,65.0,100,65.0,0,0,25.0,0,No,Normal
S4,00:00,100.0,100,100.0,0,0,0.0,0,No,Normal
S4,00:05,100.0,100,100.0,0,0,0.0,0,No,Normal
S4,00:15,100.0,100,100.0,0,0,0.0,0,No,Normal
S4,01:30,90.0,100,90.0,1,10,0.0,0,No,Normal
S4,02:00,65.0,100,65.0,0,0,25.0,0,No,Normal
S5,00:00,100.0,100,100.0,0,0,0.0,0,No,Normal
S5,00:05,100.0,100,100.0,0,0,0.0,0,No,Normal
S5,00:15,100.0,100,100.0,0,0,0.0,0,No,Normal
S5,01:30,100.0,100,100.0,0,0,0.0,0,No,Normal
S5,02:00,100.0,100,100.0,0,0,0.0,0,No,Normal
